"Phase","C1_Avg","C1_Std","C10_Avg","C10_Std","C11_Avg","C11_Std","C12_Avg","C12_Std","C2_Avg","C2_Std","C3_Avg","C3_Std","C4_Avg","C4_Std","C5_Avg","C5_Std","C6_Avg","C6_Std","C7_Avg","C7_Std","C8_Avg","C8_Std","C9_Avg","C9_Std","D1_Avg","D1_Std","D10_Avg","D10_Std","D11_Avg","D11_Std","D12_Avg","D12_Std","D2_Avg","D2_Std","D3_Avg","D3_Std","D4_Avg","D4_Std","D5_Avg","D5_Std","D6_Avg","D6_Std","D7_Avg","D7_Std","D8_Avg","D8_Std","D9_Avg","D9_Std"
"'1010 1001 1000 0110 0101 0100 0010 0001 0000'",0,0,0,0,0.000169307519458312,6.57132302470306e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 1000 0110 0110 0101 0100 0100 0001'",0,0,0,0,0.000100297336476544,6.58424763794557e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 1000 0110 0110 0101 0101 0010 0010'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 1000 0110 0110 0101 0101 0100 0100'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 1001 0110 0110 0101 0101 0101 0001'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1001 0110 0101 0100 0010 0001 0000'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1001 0110 0101 0101 0010 0001 0001'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1001 0110 0101 0101 0100 0010 0000'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1001 0110 0110 0101 0010 0010 0001'",0,0,0,0,0.0001251486139791,0.000216763757908626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1001 0110 0110 0101 0100 0100 0001'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1001 0110 0110 0101 0101 0010 0010'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1001 0110 0110 0101 0101 0100 0010'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1001 0110 0110 0101 0101 0100 0100'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1001 0110 0110 0110 0101 0010 0001'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1001 0110 0110 0110 0110 0101 0101'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1010 1001 1001 1000 0110 0101 0100'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1011 1010 0111 0110 0110 0101 0010 0010 0001'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1011 1010 1010 0110 0110 0110 0110 0101 0101'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1011 1010 1010 0111 0110 0110 0110 0110 0011'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1101 1010 1010 1001 0110 0110 0101 0010 0010'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1101 1100 1001 1000 0110 0101 0101 0100 0100'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1101 1100 1010 1010 1001 0110 0101 0010 0001'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1110 1100 1010 1001 1000 0110 0101 0010 0001'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1110 1100 1010 1010 1001 0110 0101 0101 0100'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1110 1101 1000 0110 0101 0101 0100 0010 0000'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1110 1101 1100 1010 1001 1000 0110 0101 0100'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1110 1110 1101 1010 1001 1000 0110 0101 0100'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1110 1110 1101 1010 1010 1001 0110 0101 0100'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1110 1110 1101 1010 1010 1001 0110 0110 0101'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1110 1110 1101 1010 1010 1010 1001 1001 1000'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1110 1110 1110 1110 1110 1110 1110 1001 0101'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
